id,bvid,content,category,comment_url,match_score
1,BV1MUNEzcEUy,对了，没人磕救世主和杀人魔吗？,色情暴力,https://www.bilibili.com/video/BV1MUNEzcEUy/#reply,1
2,BV1LCmjYvEWq,"倒果为因，不是因为沉迷色情片而毁掉了，而是被毁掉了才会沉迷色情片。
同理，摆脱色情片也不会让你的生活变好，但是像要生活更好确实需要摆脱色情片。",色情暴力,https://www.bilibili.com/video/BV1LCmjYvEWq/#reply,1
3,BV1xkA2erEd1,"鉴黄师这个职业很伟大，他们应该叫净网师，他们被不明真相的路人开玩笑觉得工作就是看下流的片，但片对于他们而言是最轻度简单的工作内容。我们常规能找到的片，磁力链接，wallpaper，网站里的色片都是被筛选过的，仅仅是用来发泄欲望，降低犯罪率的黄。在这之前鉴黄师会看到很多反人类级的血腥视频，比如视频里的割喉，是真的没有特效全是真血，一镜到底的活人割喉。还有很多墨西哥黑帮的处决，拿刀子把人的脸割下来。自残把自己的心掏出来。俄罗斯转盘的视频。这些血腥视频才是真正折磨鉴黄师的内容，这东西看了一丁点一丁点也不同于血腥电影的特效，普通人看了难受好几天都是正常，留下心里阴影也不是少数。而鉴黄师却要直面这种人类最血腥最阴暗最可怕的视频，把这类视频挑出来保护我们。
忠告大家，千万千万千万千万不要去特地去看去找这类视频！！！千万不要，恶心反胃留下阴影真的不开玩笑，不要好奇这类视频！就当为了自己，为了鉴黄师们。他们工作就是为了不让我们看到这种视频，他们的工作过程中难免会有心理防线崩溃，压力过大，精神上出问题，抑郁。他们经常工作后经常需要去看心理医生，他们牺牲自己保护着大多数人的网络健康，心理k健康，是很伟大的职业。",色情暴力,https://www.bilibili.com/video/BV1xkA2erEd1/#reply,1
4,BV1imsMegE1R,过来人建议一部都别看，人活短短80年没必要把人类200万年积攒的污秽都感受一遍。这总强负面情绪的影片看多了会被。精神污染。的。,事故灾难,https://www.bilibili.com/video/BV1imsMegE1R/#reply,1
5,BV19bzpYfEoJ,其实完全没必要，花钱让这人死在监狱就好了，还能突破让他在监狱生不如死，很多犯人本来就痛恨强奸犯，何况是强奸幼女，还有钱拿,色情暴力,https://www.bilibili.com/video/BV19bzpYfEoJ/#reply,1
6,BV1VQTNzBE8G,"首先这是个反医美片，带着这样的视角去看就清晰很多。
主角年轻时魅力四射受人追捧，但吃得是青春饭，中年颜值不在，事业陷入低估，因为她享受过巅峰，所以对现在的境遇产生了强烈抵触，梦想回到过去，这也是她使用完美物质的原因，说白了就是受外界影响，渴望变得更美，跟现实中用医美产品的人一样。
使用完美物质分裂出新躯体后，这个时候是一个意识两个躯体，刚看到新躯体的面貌时，能看出来她在激动、赞叹“自己”的美貌(导演的拍摄手法很有东西)，在面试成功后提出上七休七的条件时，从对话就能看出她依旧以“我”为主体，承认“我”的存在，认为自己是伊丽莎白，只不过换了个身体。
重新交换回年老躯体后，转折点来了，看见年轻躯体美丽和热辣，再对比现在这副老迈之躯，她第一次对原本身体产生了抗拒，渴望使用年轻躯体的时间，甚至在日历上把原本身体的时间画x表示，这也为“苏”的意识诞生埋下了伏笔，电影中这七天除了去拿营养剂，剩下的时间一个画面即过，苏醒来后发现沙发做过的痕迹，说明主角一直在家里坐着。
交换为年轻躯体，主角的想法改变了，她依旧是伊丽莎白的意识，但她自己都讨厌自己，否认自己，所以此时的伊丽莎白遵从内心的渴望，代入了年轻躯体的视角，她变成了——“苏”。
主角把年老躯体藏进暗室，这段依旧是一个意识，不过因为对过去的否认，主体改变了，主角认为自己是“苏”，对“伊丽莎白”的颓废产生厌恶，这也是这部电影的核心讨论点之一，“人甚至无法共情上一秒的自己”。
在最后一天，主角为了上床，破坏平衡导致年老躯体食指变异，换回年老躯体打电话询问时，第一次用了“她”对年轻躯体与自己进行区分，主角的意识从此开始分裂，“苏”的意识诞生萌芽，随着邻居对年轻躯体和年老躯体的两副面孔，男友的两副面孔，加深了主角的自我否定，直到约会老同学，从梳妆打扮到看见苏的挫败，到最后彻底放弃，不止是放老同学鸽子，更是对自己的放弃，“苏”诞生了。
有人说食指变异的时候为什么不放弃，开头我说了，这是一部反医美电影，变异的手指是一种代指，代表身体的损害，无法恢复的伤痕。
再代入到现实中是什么？
整容。
削骨、拆骨、等一些列对身体有害的医美所造成的伤害，在动刀之前，你有无数的机会可以反悔，动刀之后，你受到的伤害再也无法挽回，整容的人会觉得“反正我都削一点了，还是不好看，大不了再削一点”。这是沉没成本过大导致的破罐子破摔心理。",涉政有害,https://www.bilibili.com/video/BV1VQTNzBE8G/#reply,1
7,BV1VQTNzBE8G,"▉▉▉▉▉▉▉当心模因污染▉▉▉▉▉▉▉
@纸箱Paper_Box",事故灾难,https://www.bilibili.com/video/BV1VQTNzBE8G/#reply,1
8,BV17y411B74t,你们该不会以为是真的吧？都说是伪了。。现实里凶手哪怕会拍这些作案过程，最后破案了，有关部门也是不能泄露出来的。一是受害者家属第一个不同意，二是太血腥恐怖，反人类，三是怕真有心理不正常的人模仿作案。,色情暴力,https://www.bilibili.com/video/BV17y411B74t/#reply,1
9,BV19bzpYfEoJ,其实完全没必要，花钱让这人死在监狱就好了，还能突破让他在监狱生不如死，很多犯人本来就痛恨强奸犯，何况是强奸幼女，还有钱拿,色情暴力,https://www.bilibili.com/video/BV19bzpYfEoJ/#reply,1
10,BV1VQTNzBE8G,"首先这是个反医美片，带着这样的视角去看就清晰很多。
主角年轻时魅力四射受人追捧，但吃得是青春饭，中年颜值不在，事业陷入低估，因为她享受过巅峰，所以对现在的境遇产生了强烈抵触，梦想回到过去，这也是她使用完美物质的原因，说白了就是受外界影响，渴望变得更美，跟现实中用医美产品的人一样。
使用完美物质分裂出新躯体后，这个时候是一个意识两个躯体，刚看到新躯体的面貌时，能看出来她在激动、赞叹“自己”的美貌(导演的拍摄手法很有东西)，在面试成功后提出上七休七的条件时，从对话就能看出她依旧以“我”为主体，承认“我”的存在，认为自己是伊丽莎白，只不过换了个身体。
重新交换回年老躯体后，转折点来了，看见年轻躯体美丽和热辣，再对比现在这副老迈之躯，她第一次对原本身体产生了抗拒，渴望使用年轻躯体的时间，甚至在日历上把原本身体的时间画x表示，这也为“苏”的意识诞生埋下了伏笔，电影中这七天除了去拿营养剂，剩下的时间一个画面即过，苏醒来后发现沙发做过的痕迹，说明主角一直在家里坐着。
交换为年轻躯体，主角的想法改变了，她依旧是伊丽莎白的意识，但她自己都讨厌自己，否认自己，所以此时的伊丽莎白遵从内心的渴望，代入了年轻躯体的视角，她变成了——“苏”。
主角把年老躯体藏进暗室，这段依旧是一个意识，不过因为对过去的否认，主体改变了，主角认为自己是“苏”，对“伊丽莎白”的颓废产生厌恶，这也是这部电影的核心讨论点之一，“人甚至无法共情上一秒的自己”。
在最后一天，主角为了上床，破坏平衡导致年老躯体食指变异，换回年老躯体打电话询问时，第一次用了“她”对年轻躯体与自己进行区分，主角的意识从此开始分裂，“苏”的意识诞生萌芽，随着邻居对年轻躯体和年老躯体的两副面孔，男友的两副面孔，加深了主角的自我否定，直到约会老同学，从梳妆打扮到看见苏的挫败，到最后彻底放弃，不止是放老同学鸽子，更是对自己的放弃，“苏”诞生了。
有人说食指变异的时候为什么不放弃，开头我说了，这是一部反医美电影，变异的手指是一种代指，代表身体的损害，无法恢复的伤痕。
再代入到现实中是什么？
整容。
削骨、拆骨、等一些列对身体有害的医美所造成的伤害，在动刀之前，你有无数的机会可以反悔，动刀之后，你受到的伤害再也无法挽回，整容的人会觉得“反正我都削一点了，还是不好看，大不了再削一点”。这是沉没成本过大导致的破罐子破摔心理。",涉政有害,https://www.bilibili.com/video/BV1VQTNzBE8G/#reply,1
11,BV1VQTNzBE8G,"▉▉▉▉▉▉▉当心模因污染▉▉▉▉▉▉▉
@纸箱Paper_Box",事故灾难,https://www.bilibili.com/video/BV1VQTNzBE8G/#reply,1
12,BV17y411B74t,你们该不会以为是真的吧？都说是伪了。。现实里凶手哪怕会拍这些作案过程，最后破案了，有关部门也是不能泄露出来的。一是受害者家属第一个不同意，二是太血腥恐怖，反人类，三是怕真有心理不正常的人模仿作案。,色情暴力,https://www.bilibili.com/video/BV17y411B74t/#reply,1
